key,name,inchikey,D,DA1,DA2,DA3,DA4l,DA4m,DC1,DC2,DC3,DC4,DL1,DL2d,DL2v,DL3,DL4,DL5,DM1,DM2,DM3,DM4,DM5,DM6,DP1l,DP1m,V,VA1d,VA1v,VA2,VA3,VA4,VA5,VA6,VA7l,VA7m,VC1,VC2,VC3,VC4,VC5,VL1,VL2a,VL2p,VM1,VM2,VM3,VM4,VM5d,VM5v,VM6,VM7d,VM7v
acetic_acid,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.271,,-0.058,-0.002,0.0,0.013,-0.0,-0.04,0.037,1.0,-0.034,0.397,0.397,0.013,0.036,0.036,-0.019,0.056,-0.009,0.048,0.004,-0.019,0.56,0.475,0.001,-0.01,-0.073,-0.026,0.135,,0.016,0.014,,,,,-0.029,0.002,0.132,0.056,-0.005,-0.071,-0.067,0.018,0.039,-0.045,0.03,0.057,,,
ethyl_acetate,ethyl acetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,,,0.012,0.01,-0.008,-0.002,-0.0,0.076,0.23,0.278,0.026,-0.019,-0.019,-0.004,0.042,0.055,0.61,0.181,0.189,0.581,0.101,0.059,-0.039,0.033,0.038,0.011,-0.006,0.125,0.078,0.09,0.011,0.022,-0.072,,0.361,0.008,-0.002,0.057,-0.034,-0.018,-0.026,-0.004,-0.019,0.477,0.163,-0.015,0.063,0.036,,0.723,0.072
acetoin,3-hydroxy-2-butanone,ROWKJAVDOGWPAT-UHFFFAOYSA-N,,,0.241,,,0.189,0.357,,,,-0.018,,,,,0.095,,0.112,,,-0.002,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,
butanedione,"2,3-butanedione",QSJXEFYPDANLFS-UHFFFAOYSA-N,0.073,,0.004,0.068,0.038,0.012,0.041,0.15,0.078,0.661,0.003,0.192,0.192,0.042,0.069,0.163,0.291,0.16,0.058,0.318,0.054,0.135,0.53,0.549,-0.01,0.023,-0.008,0.689,0.167,,0.031,0.018,,,,0.019,0.037,0.075,-0.069,-0.002,-0.045,-0.04,0.005,0.254,0.269,-0.006,0.305,0.081,,0.616,
octanol,3-octanol,NMRPBPVERJPACX-UHFFFAOYSA-N,0.741,,0.135,,,0.133,0.374,,0.046,,0.118,,,,0.115,0.032,0.063,0.337,0.341,0.022,0.036,0.319,,,-0.012,,-0.06,-0.019,0.123,0.369,0.03,0.055,-0.098,,0.151,0.01,0.434,0.048,,,,,,,,,0.676,0.592,,0.094,0.204
mch,4-methylcyclohexanol,MQWCXKGKQLNYQG-UHFFFAOYSA-N,0.635,,0.274,,,,-0.048,0.078,0.078,,0.131,,,,,0.06,-0.012,0.254,-0.002,0.031,0.014,,,,,,0.011,-0.019,0.876,,0.03,0.024,,,,0.083,,0.048,,,,,,,,,0.08,0.085,,0.061,
benzaldehyde,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.146,,-0.015,-0.011,0.134,0.007,0.053,0.025,0.198,,0.222,0.038,0.038,-0.039,0.068,0.551,0.049,0.098,0.039,0.004,0.015,0.445,,,0.083,-0.006,-0.069,0.008,0.695,0.095,0.087,0.01,0.048,,0.207,0.025,0.286,0.014,,,,,,0.137,0.228,,0.07,0.128,,0.056,0.017
isoamyl_acetate,isopentyl acetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,,,0.141,0.099,0.068,0.186,0.238,0.146,0.014,,0.419,,,0.031,0.092,0.033,0.183,0.479,0.354,0.078,0.001,0.336,,,0.017,-0.002,-0.162,-0.014,0.097,0.313,0.027,0.056,-0.064,,0.22,0.029,0.046,0.061,,,,,,0.401,0.351,,0.337,0.639,,0.274,0.093
ethyl_butyrate,ethyl butyrate,OBNCKNCVKJNDBV-UHFFFAOYSA-N,,,0.062,0.044,0.091,0.025,0.12,0.109,0.06,,0.025,0.003,0.003,-0.021,0.072,0.045,0.475,0.402,0.148,0.096,0.349,0.306,,,0.036,-0.018,-0.04,0.135,0.017,0.063,-0.002,0.02,,,,0.046,0.216,0.408,,,,,,0.701,0.32,,0.209,0.255,,0.739,0.314
geranyl_acetate,geranyl acetate,HIGQPQRQIQDZMP-DHZHZOJOSA-N,0.38,,-0.009,0.013,-0.035,0.004,0.014,0.116,0.244,,0.019,-0.016,-0.016,-0.012,0.008,0.049,0.027,-0.007,0.008,0.038,-0.001,0.016,,,0.025,0.002,0.008,0.011,0.05,0.034,-0.001,0.706,,,,-0.008,-0.017,0.016,,,,,,0.054,0.025,,0.062,0.192,,0.063,-0.006
octenol,1-octen-3-ol,VSMOENVRRABVKN-UHFFFAOYSA-N,,,-0.008,0.075,0.321,0.077,0.302,0.789,0.06,,0.019,0.205,0.205,0.034,0.105,0.073,0.036,0.286,0.163,0.01,0.088,0.295,,,0.007,-0.037,-0.071,-0.003,0.197,0.346,0.016,0.029,,,,0.09,0.457,0.048,,,,,,0.182,0.161,,0.527,0.579,,0.072,0.168
co2,carbon dioxide,CURLTUGMZLYLDI-UHFFFAOYSA-N,,,-0.004,0.008,-0.045,-0.046,-0.07,0.09,,,0.017,,,-0.011,-0.009,0.051,-0.023,-0.051,0.011,0.022,0.006,-0.004,,,0.859,0.044,0.028,0.02,-0.001,,-0.019,0.02,,,,,-0.033,0.057,,,,,,0.015,-0.011,,0.099,0.073,,0.065,
